X,CH1
Second,Volt,
-2.8000000748e-04,-8.40e-01
-2.7600000612e-04,-8.60e-01
-2.7200000477e-04,-8.40e-01
-2.6800000342e-04,-8.60e-01
-2.6400000206e-04,-8.60e-01
-2.6000000071e-04,-8.40e-01
-2.5599999935e-04,-8.60e-01
-2.5199999800e-04,-8.40e-01
-2.4799999665e-04,-8.40e-01
-2.4399999529e-04,-8.60e-01
-2.3999999394e-04,-8.60e-01
-2.3599999258e-04,-8.40e-01
-2.3200000578e-04,-8.40e-01
-2.2800000443e-04,-8.60e-01
-2.2400000307e-04,-8.60e-01
-2.2000000172e-04,-8.40e-01
-2.1600000036e-04,-8.60e-01
-2.1199999901e-04,-8.40e-01
-2.0799999766e-04,-8.40e-01
-2.0399999630e-04,-8.60e-01
-1.9999999495e-04,-8.40e-01
-1.9599999359e-04,-8.60e-01
-1.9200000679e-04,-8.40e-01
-1.8800000544e-04,-8.60e-01
-1.8400000408e-04,-8.60e-01
-1.8000000273e-04,-8.40e-01
-1.7600000137e-04,-8.40e-01
-1.7200000002e-04,-8.60e-01
-1.6799999867e-04,-8.60e-01
-1.6399999731e-04,-8.40e-01
-1.5999999596e-04,-8.40e-01
-1.5599999460e-04,-8.80e-01
-1.5199999325e-04,-8.40e-01
-1.4800000645e-04,-8.60e-01
-1.4400000509e-04,-8.40e-01
-1.4000000374e-04,-8.60e-01
-1.3600000239e-04,-8.60e-01
-1.3200000103e-04,-8.40e-01
-1.2799999968e-04,-8.40e-01
-1.2399999832e-04,-8.60e-01
-1.1999999697e-04,-8.60e-01
-1.1600000289e-04,-8.40e-01
-1.1200000154e-04,-8.40e-01
-1.0800000018e-04,-8.60e-01
-1.0399999883e-04,-8.40e-01
-9.9999997474e-05,-8.60e-01
-9.6000003396e-05,-8.40e-01
-9.2000002041e-05,-8.60e-01
-8.8000000687e-05,-8.60e-01
-8.3999999333e-05,-8.40e-01
-7.9999997979e-05,-8.60e-01
-7.5999996625e-05,-8.40e-01
-7.2000002547e-05,-8.60e-01
-6.8000001193e-05,-8.40e-01
-6.3999999838e-05,-8.40e-01
-5.9999998484e-05,-8.60e-01
-5.6000000768e-05,-8.60e-01
-5.1999999414e-05,-8.40e-01
-4.8000001698e-05,-8.40e-01
-4.4000000344e-05,-8.60e-01
-3.9999998990e-05,-8.40e-01
-3.6000001273e-05,-8.60e-01
-3.1999999919e-05,-8.60e-01
-2.8000000384e-05,-8.40e-01
-2.4000000849e-05,-8.40e-01
-1.9999999495e-05,-8.60e-01
-1.5999999960e-05,-8.40e-01
-1.2000000424e-05,-8.60e-01
-7.9999999798e-06,-8.40e-01
-3.9999999899e-06,-8.60e-01
0.0000000000e+00,7.60e-01
3.9999999899e-06,7.80e-01
7.9999999798e-06,7.80e-01
1.2000000424e-05,7.60e-01
1.5999999960e-05,7.80e-01
1.9999999495e-05,8.00e-01
2.4000000849e-05,7.80e-01
2.8000000384e-05,8.00e-01
3.1999999919e-05,7.80e-01
3.6000001273e-05,7.80e-01
3.9999998990e-05,7.80e-01
4.4000000344e-05,7.80e-01
4.8000001698e-05,7.80e-01
5.1999999414e-05,8.00e-01
5.6000000768e-05,7.80e-01
5.9999998484e-05,8.00e-01
6.3999999838e-05,7.80e-01
6.8000001193e-05,7.60e-01
7.2000002547e-05,8.00e-01
7.5999996625e-05,7.80e-01
7.9999997979e-05,7.80e-01
8.3999999333e-05,7.60e-01
8.8000000687e-05,7.80e-01
9.2000002041e-05,8.00e-01
9.6000003396e-05,8.00e-01
9.9999997474e-05,7.60e-01
1.0399999883e-04,7.80e-01
1.0800000018e-04,7.80e-01
1.1200000154e-04,7.80e-01
1.1600000289e-04,8.00e-01
1.1999999697e-04,7.80e-01
1.2399999832e-04,8.00e-01
1.2799999968e-04,7.80e-01
1.3200000103e-04,7.80e-01
1.3600000239e-04,7.80e-01
1.4000000374e-04,8.00e-01
1.4400000509e-04,7.80e-01
1.4800000645e-04,7.80e-01
1.5199999325e-04,8.00e-01
1.5599999460e-04,7.80e-01
1.5999999596e-04,7.80e-01
1.6399999731e-04,7.80e-01
1.6799999867e-04,7.80e-01
1.7200000002e-04,7.80e-01
1.7600000137e-04,7.80e-01
1.8000000273e-04,7.80e-01
1.8400000408e-04,7.80e-01
1.8800000544e-04,7.80e-01
1.9200000679e-04,7.80e-01
1.9599999359e-04,8.00e-01
1.9999999495e-04,8.00e-01
2.0399999630e-04,7.80e-01
2.0799999766e-04,7.80e-01
2.1199999901e-04,7.80e-01
2.1600000036e-04,7.80e-01
2.2000000172e-04,7.80e-01
2.2400000307e-04,7.80e-01
2.2800000443e-04,7.80e-01
2.3200000578e-04,7.80e-01
2.3599999258e-04,8.00e-01
2.3999999394e-04,8.00e-01
2.4399999529e-04,7.80e-01
2.4799999665e-04,7.80e-01
2.5199999800e-04,7.80e-01
2.5599999935e-04,7.80e-01
2.6000000071e-04,8.00e-01
2.6400000206e-04,7.80e-01
2.6800000342e-04,7.80e-01
2.7200000477e-04,7.80e-01
2.7600000612e-04,7.60e-01
2.8000000748e-04,7.60e-01
2.8400000883e-04,8.00e-01
2.8800001019e-04,7.80e-01
2.9200001154e-04,7.80e-01
2.9600001290e-04,7.80e-01
2.9999998515e-04,7.80e-01
3.0399998650e-04,7.80e-01
3.0799998785e-04,7.80e-01
3.1199998921e-04,7.80e-01
3.1599999056e-04,7.80e-01
3.1999999192e-04,7.80e-01
