Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,250
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.99104e-03,0,0
-1.99100e-03,0,0
-1.99096e-03,0,0
-1.99092e-03,0,0
-1.99088e-03,0,0
-1.99084e-03,0,0
-1.99080e-03,0,0
-1.99076e-03,0,0
-1.99072e-03,0,0
-1.99068e-03,0,0
-1.99064e-03,0,0
-1.99060e-03,0,0
-1.99056e-03,0,0
-1.99052e-03,0,0
-1.99048e-03,0,0
-1.99044e-03,0,0
-1.99040e-03,0,0
-1.99036e-03,0,0
-1.99032e-03,0,0
-1.99028e-03,0,0
-1.99024e-03,0,0
-1.99020e-03,0,0
-1.99016e-03,0,-0.8
-1.99012e-03,0,0
-1.99008e-03,0,0
-1.99004e-03,0,-0.8
-1.99000e-03,0,0
-1.98996e-03,0,0
-1.98992e-03,0,0
-1.98988e-03,0,0
-1.98984e-03,0,0
-1.98980e-03,0,0
-1.98976e-03,0,0
-1.98972e-03,0,0
-1.98968e-03,0,0
-1.98964e-03,0,0
-1.98960e-03,0,0
-1.98956e-03,0,0
-1.98952e-03,0,0
-1.98948e-03,0.04,0
-1.98944e-03,0,0
-1.98940e-03,0,0
-1.98936e-03,0,0
-1.98932e-03,0.04,0
-1.98928e-03,0,0
-1.98924e-03,0,0
-1.98920e-03,0,0
-1.98916e-03,0,0
-1.98912e-03,0,0
-1.98908e-03,0,-0.8
-1.98904e-03,0,0
-1.98900e-03,0,0
-1.98896e-03,0,0
-1.98892e-03,0,0
-1.98888e-03,0,0
-1.98884e-03,0,0
-1.98880e-03,0,-0.8
-1.98876e-03,0,0
-1.98872e-03,0,0
-1.98868e-03,0,0
-1.98864e-03,0,0
-1.98860e-03,0,0
-1.98856e-03,0,0
-1.98852e-03,0,0
-1.98848e-03,0,0
-1.98844e-03,0,0
-1.98840e-03,0,0
-1.98836e-03,0,0
-1.98832e-03,0,0
-1.98828e-03,0,0
-1.98824e-03,0,0
-1.98820e-03,0,0
-1.98816e-03,0,0
-1.98812e-03,0,0
-1.98808e-03,0,0
-1.98804e-03,0,0
-1.98800e-03,0,0
-1.98796e-03,0,0
-1.98792e-03,0,-0.8
-1.98788e-03,0,0
-1.98784e-03,0,0
-1.98780e-03,0,0
-1.98776e-03,0,0
-1.98772e-03,0,0
-1.98768e-03,0,0
-1.98764e-03,0,0
-1.98760e-03,0.04,0
-1.98756e-03,0,0
-1.98752e-03,0,0
-1.98748e-03,0,0
-1.98744e-03,0,0
-1.98740e-03,0,0
-1.98736e-03,0,0
-1.98732e-03,0,0
-1.98728e-03,0,0
-1.98724e-03,0,-0.8
-1.98720e-03,0,0
-1.98716e-03,0,-0.8
-1.98712e-03,0,0
-1.98708e-03,0,0
-1.98704e-03,0,0
-1.98700e-03,0,0
-1.98696e-03,0,0
-1.98692e-03,0,0
-1.98688e-03,0,-0.8
-1.98684e-03,0,0
-1.98680e-03,0,0
-1.98676e-03,0,0
-1.98672e-03,0,0
-1.98668e-03,0,0
-1.98664e-03,0,0
-1.98660e-03,0.04,-0.8
-1.98656e-03,0,0
-1.98652e-03,0,0
-1.98648e-03,0,0
-1.98644e-03,0,0
-1.98640e-03,0,0
-1.98636e-03,0,0
-1.98632e-03,0,0
-1.98628e-03,0,0
-1.98624e-03,0,0
-1.98620e-03,0,0
-1.98616e-03,0.04,0
-1.98612e-03,0,0
-1.98608e-03,0,0
-1.98604e-03,0,0
-1.98600e-03,0,0
-1.98596e-03,0,0
-1.98592e-03,0,0
-1.98588e-03,0,0
-1.98584e-03,0,0
-1.98580e-03,0,0
-1.98576e-03,0,0
-1.98572e-03,0,0
-1.98568e-03,0,0
-1.98564e-03,0,0
-1.98560e-03,0,0
-1.98556e-03,0,0
-1.98552e-03,0,0
-1.98548e-03,0,-0.8
-1.98544e-03,0,0
-1.98540e-03,0,0
-1.98536e-03,0,0
-1.98532e-03,0,0
-1.98528e-03,0,0
-1.98524e-03,0,0
-1.98520e-03,0,0
-1.98516e-03,0,0
-1.98512e-03,0,0
-1.98508e-03,0,-0.8
-1.98504e-03,0,0
-1.98500e-03,0,0
-1.98496e-03,0,0
