n,V1,I1,P1,W,If,V2,I2
1404,197.16,9.76,2569,4.8,1.824,98.2,15.6
1413,199.69,9.201,2319,4.3,1.77,100.1,14.4
1429,200.23,8.422,2021,3.6,1.65,100,12.6
1441,200.23,7.619,1646,2.65,1.518,100,9.95
1468,200.04,6.369,930.4,1.1,1.3,100,4.95
1486,200.15,3.133,418.6,0.1,1.14,100,0
