d,p,V,dp
0.5,1.0,0.36468505859375,0.5
0.5,1.6681005372000588,0.33721923828125,0.8340502686000294
0.5,2.7825594022071245,0.33111572265625,1.3912797011035622
1.5,1.0,0.34027099609375,1.5
0.5,4.641588833612778,0.33416748046875,2.320794416806389
2.5,1.0,0.33721923828125,2.5
1.5,1.6681005372000588,0.33416748046875,2.5021508058000883
0.5,7.742636826811269,0.33111572265625,3.8713184134056347
2.5,1.6681005372000588,0.33416748046875,4.170251343000147
1.5,2.7825594022071245,0.33111572265625,4.173839103310687
5.0,1.0,0.33721923828125,5.0
0.5,12.91549665014884,0.33111572265625,6.45774832507442
2.5,2.7825594022071245,0.33111572265625,6.956398505517811
1.5,4.641588833612778,0.33111572265625,6.962383250419167
5.0,1.6681005372000588,0.33111572265625,8.340502686000294
10.0,1.0,0.34027099609375,10.0
0.5,21.544346900318832,0.33416748046875,10.772173450159416
2.5,4.641588833612778,0.34027099609375,11.603972084031946
1.5,7.742636826811269,0.34027099609375,11.613955240216903
5.0,2.7825594022071245,0.35552978515625,13.912797011035622
10.0,1.6681005372000588,0.38299560546875,16.681005372000588
0.5,35.93813663804626,0.38909912109375,17.96906831902313
2.5,7.742636826811269,0.40130615234375,19.356592067028174
1.5,12.91549665014884,0.40130615234375,19.373244975223262
5.0,4.641588833612778,0.43792724609375,23.207944168063893
10.0,2.7825594022071245,0.48065185546875,27.825594022071243
0.5,59.94842503189409,0.49896240234375,29.974212515947045
2.5,12.91549665014884,0.52032470703125,32.288741625372104
1.5,21.544346900318832,0.52032470703125,32.31652035047825
5.0,7.742636826811269,0.57525634765625,38.71318413405635
10.0,4.641588833612778,0.64239501953125,46.415888336127786
0.5,100.0,0.67291259765625,50.0
2.5,21.544346900318832,0.70648193359375,53.86086725079708
1.5,35.93813663804626,0.70648193359375,53.90720495706939
5.0,12.91549665014884,0.79193115234375,64.57748325074421
10.0,7.742636826811269,0.88043212890625,77.4263682681127
2.5,35.93813663804626,0.99334716796875,89.84534159511566
1.5,59.94842503189409,0.99639892578125,89.92263754784113
5.0,21.544346900318832,1.11236572265625,107.72173450159416
10.0,12.91549665014884,1.21307373046875,129.15496650148842
2.5,59.94842503189409,1.38397216796875,149.87106257973522
1.5,100.0,1.38702392578125,150.0
5.0,35.93813663804626,1.52740478515625,179.6906831902313
10.0,21.544346900318832,1.68304443359375,215.4434690031883
2.5,100.0,1.86614990234375,250.0
5.0,59.94842503189409,2.08892822265625,299.74212515947045
10.0,35.93813663804626,2.35137939453125,359.3813663804626
5.0,100.0,2.97088623046875,500.0
10.0,59.94842503189409,3.35845947265625,599.4842503189409
10.0,100.0,4.91180419921875,1000.0
