1: 10.2055
2: 10.2055
3: 10.2055
4: 10.2055
5: 12.0951
6: 12.0951
7: 12.0951
8: 12.0951
9: 12.0951
10: 12.0951
11: 12.0970
12: 12.0970
13: 12.0970
14: 12.7562
15: 12.7584
16: 12.7584
17: 12.7584
18: 12.7584
19: 12.7584
20: 12.7586
21: 12.7586
22: 12.7586
23: 12.7586
24: 12.7586
25: 12.7586
26: 12.7586
27: 12.7615
28: 12.7615
29: 12.7615
30: 13.0631
31: 13.0631
32: 13.0631
33: 13.0631
34: 13.0631
35: 13.0649
36: 13.0649
37: 13.0649
38: 13.0649
39: 13.0649
40: 13.0649
41: 13.0649
42: 13.0649
43: 13.0649
44: 13.0685
45: 13.0717
46: 13.0717
47: 13.0717
48: 13.0717
49: 13.0717
50: 13.0717
51: 13.0717
52: 13.0811
53: 13.0811
54: 13.0811
55: 13.2327
